#{"t_start": 1759307281.4268382, "env_id": "None"}
r,l,t,jain,cell_tput_Mb,wasted_prbs
12.349342,2000,398.750014,0.8190643890359003,0.098816,60
14.648126,2000,402.817279,0.8049170463830067,0.121,0
13.947851,2000,406.252865,0.8674306716282131,0.092896,0
13.911986,2000,409.373076,0.8987698858180709,0.163728,0
15.061616,2000,412.808228,0.8908667809377532,0.119568,0
14.420211,2000,416.572775,0.9645599791931966,0.115376,0
3.34615,2000,419.241405,0.9177782505814803,0.059176,28
15.070625,2000,422.639213,0.9535316917574441,0.111072,0
13.22554,2000,426.130039,0.8306217427166792,0.08104,0
12.391905,2000,429.617018,0.9196775565958154,0.071936,0
14.743627,2000,432.789605,0.9150876620772437,0.172096,0
12.449305,2000,436.265886,0.8439304536844903,0.134544,23
2.865551,2000,440.630115,0.9139676769443006,0.099264,0
10.76826,2000,443.880303,0.9082763519445373,0.062048,44
14.223824,2000,447.071896,0.8452064587745219,0.12712,28
13.383244,2000,450.288632,0.9249295658580614,0.13936,59
14.7707,2000,453.993163,0.8903869703202808,0.10992,0
6.795942,2000,456.92294,0.9374640139431811,0.077544,59
14.898241,2000,460.108554,0.9854659543547615,0.150032,0
13.811502,2000,463.474466,0.8837330873651622,0.103752,0
12.936368,2000,467.055221,0.909247588867542,0.127008,0
14.098362,2000,470.048569,0.9077713962912825,0.138032,0
14.035707,2000,472.970636,0.9408236281027831,0.113224,0
15.766126,2000,476.702081,0.905504710214756,0.103336,0
14.035052,2000,480.346523,0.8918677277530873,0.12452,68
14.000194,2000,483.512146,0.9105890353505864,0.115144,75
7.254974,2000,486.490311,0.7462784519653192,0.088464,56
12.201036,2000,490.461075,0.798797515903283,0.053584,0
14.682805,2000,493.570933,0.8904960623322408,0.174672,0
14.520788,2000,496.811062,0.9100704038898879,0.090552,0
14.993898,2000,499.898923,0.9646766385733455,0.194816,0
13.987293,2000,503.745271,0.8544810304803822,0.162864,0
14.749521,2000,506.874698,0.9129671566453023,0.125128,0
13.968657,2000,510.012068,0.8915297643200694,0.118912,78
11.878779,2000,513.33035,0.8621918548025649,0.079392,0
13.786691,2000,516.911997,0.8178477014435748,0.129016,0
14.050665,2000,519.963909,0.9720353018201763,0.07436,46
14.054614,2000,522.919198,0.8685474513703941,0.13056,0
13.422717,2000,526.327937,0.7829493956177326,0.125536,0
14.289435,2000,529.989195,0.9077420168961736,0.106472,0
13.653893,2000,533.009297,0.9402387720446371,0.151224,5
14.169025,2000,536.000574,0.8011450051995849,0.147416,62
5.156539,2000,539.58715,0.781387037854257,0.098064,0
15.886507,2000,542.975325,0.9017969621946971,0.105096,0
15.168724,2000,545.928707,0.831783861727428,0.090416,50
14.724447,2000,549.051146,0.8559748279680989,0.108048,81
10.440114,2000,553.143202,0.7405423936604745,0.044224,205
14.204243,2000,556.199814,0.7534083227270524,0.111704,0
8.906719,2000,559.276753,0.8506927914365752,0.043872,135
14.387614,2000,561.768325,0.8635654230600079,0.1114,0
-4.175471,2000,565.628929,0.8637388607805017,0.098992,99
5.878755,2000,568.644397,0.9793581162926774,0.03392,216
14.678818,2000,571.705054,0.9829999223554214,0.152736,35
13.615015,2000,574.627727,0.9779524469654076,0.123792,0
12.526371,2000,578.461851,0.809282988799186,0.1048,0
12.589489,2000,581.794017,0.8563349280679012,0.150624,26
14.021907,2000,585.196308,0.8039153954951711,0.081616,82
13.883976,2000,588.457476,0.9924381689673744,0.109536,82
-6.940787,2000,592.179628,0.7876384984507607,0.077936,64
14.316014,2000,595.283821,0.8303771496019704,0.132248,0
14.108897,2000,598.406068,0.9811603946236298,0.051776,0
14.090586,2000,602.428817,0.9260460619445628,0.0918,31
11.590585,2000,605.749016,0.8003656605668501,0.094224,103
13.130756,2000,608.739782,0.8529190436448483,0.112552,0
13.604646,2000,611.905575,0.9178598095535648,0.088112,0
13.94343,2000,616.118387,0.9775086583014964,0.206152,24
14.449993,2000,619.24704,0.9437887808661773,0.116376,22
11.93006,2000,622.249548,0.8088182652083539,0.108008,20
13.197753,2000,625.438372,0.8364528503266818,0.110744,0
13.497267,2000,629.356987,0.9683919114639004,0.118192,48
13.767573,2000,632.407557,0.8203385903229305,0.093816,48
12.674719,2000,635.327704,0.8655094227793101,0.085144,0
13.387657,2000,638.480497,0.8739821140281883,0.104544,37
12.602416,2000,642.49295,0.9425810119143562,0.05132,71
14.785934,2000,645.831735,0.8399470384448452,0.114344,0
14.359913,2000,648.919766,0.9560315737813367,0.135008,10
13.089584,2000,652.988923,0.8488160921446906,0.111352,14
14.239591,2000,656.367895,0.8706703599904279,0.123784,0
14.047118,2000,659.479065,0.8451906835352903,0.10208,79
14.208536,2000,662.633936,0.8323889938958147,0.1564,54
14.352015,2000,666.518741,0.9082148699957266,0.097904,0
14.854771,2000,669.547628,0.9365008395166061,0.078912,0
12.97701,2000,672.654708,0.7726504733907167,0.079136,29
12.88839,2000,675.867245,0.9124035595005577,0.111664,0
14.914795,2000,679.791548,0.9550727228360752,0.098448,0
13.63221,2000,682.891166,0.8791304123364957,0.089152,60
13.771757,2000,685.981069,0.9137154031427689,0.142944,0
14.007774,2000,689.457027,0.9602150455566426,0.074376,11
13.832057,2000,693.022263,0.8522413194307967,0.11636,0
14.167801,2000,695.972748,0.9434821194777311,0.095936,0
14.49613,2000,699.060271,0.9083755154798286,0.09148,33
12.268883,2000,704.239523,0.9293146829416301,0.07056,104
15.070989,2000,706.757975,0.9690974626258222,0.089952,84
13.798293,2000,709.69083,0.9110583810673629,0.050624,0
12.783906,2000,712.655225,0.9213343387481339,0.074992,113
7.083666,2000,716.383971,0.8010171422433551,0.058024,0
7.820865,2000,719.552479,0.8512034625837702,0.09364,23
13.661575,2000,722.658841,0.8794110817735118,0.115312,104
14.679876,2000,725.71691,0.9453539078908381,0.079888,40
14.187082,2000,729.672943,0.8854960068725981,0.090008,41
13.846185,2000,732.708197,0.943140680068457,0.06612,88
14.639941,2000,735.892257,0.8885646645463493,0.144864,0
14.624086,2000,738.901932,0.8918952552426362,0.093992,0
8.288859,2000,742.864931,0.8581729358313549,0.133664,0
14.370627,2000,745.987854,0.9215450253297296,0.155536,33
12.875566,2000,749.175827,0.7504901551230235,0.098832,65
13.783866,2000,752.508696,0.860560876488822,0.128256,0
13.752103,2000,756.109179,0.8441773961770319,0.082096,46
14.018403,2000,759.151821,0.8263485370493263,0.062088,0
14.475072,2000,762.165684,0.9479417868472384,0.095776,61
3.223033,2000,765.501801,0.8395203346858532,0.094264,112
13.781702,2000,769.068833,0.8947319058709587,0.120744,0
13.863752,2000,772.008838,0.9931838195314601,0.151224,0
14.179431,2000,775.024127,0.9801845104821026,0.111592,0
14.517422,2000,778.397709,0.8543363930250727,0.089552,0
5.318125,2000,782.120153,0.9406893948981678,0.095064,0
15.061085,2000,785.169052,0.9765024052678372,0.16744,4
13.811994,2000,788.086979,0.9209508423785923,0.1096,52
12.874167,2000,791.756082,0.9030789145970414,0.081008,59
13.195789,2000,795.065784,0.801343327599282,0.097776,0
14.549293,2000,798.11526,0.9593480746790247,0.117504,0
14.549816,2000,801.10969,0.9871631495936053,0.155136,0
-19.458628,2000,804.918243,0.8828342354621207,0.030712,173
14.242637,2000,808.070895,0.9725513796098784,0.136832,0
14.249676,2000,811.166384,0.8857578662896604,0.121864,32
14.153747,2000,814.276498,0.9017468970666302,0.125568,3
13.634638,2000,818.312703,0.9527226846924374,0.117392,0
14.321162,2000,821.457766,0.7702761524591925,0.1296,0
14.837585,2000,824.406996,0.856279463730339,0.086328,0
